0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
0.35 ,0.36 ,0.37 ,0.38 ,0.39 ,0.4 ,0.41 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46
